IBER,NIBER,PSNR,SSIM
0.0,0.0061,24.163406,0.886857
0.0,0.0056,26.183152,0.911984
0.0095,0.0051,24.854331,0.893652
0.0063,0.0039,30.269488,0.944019
0.0063,0.007,25.089483,0.897785
0.0159,0.0059,23.699793,0.892208
0.0032,0.0058,26.664357,0.91489
0.0,0.0073,24.151287,0.894817
0.0063,0.0058,23.114607,0.883503
0.0,0.0071,26.077567,0.905026
0.0095,0.0059,26.033536,0.906826
0.0159,0.0047,23.908004,0.884536
0.0063,0.0062,24.6496,0.896908
0.0063,0.0057,24.017467,0.900912
0.0032,0.0055,25.540764,0.907638
0.0095,0.0061,24.177486,0.894798
0.0159,0.0065,23.60121,0.876996
0.0063,0.006,24.086634,0.895222
0.0,0.0057,26.274363,0.917083
0.0063,0.0059,26.989967,0.919199
0.0095,0.006,23.828017,0.886107
0.019,0.0061,22.455839,0.866762
0.0032,0.0072,26.974728,0.909161
0.0063,0.0057,20.256827,0.839391
0.0063,0.0059,24.986684,0.900278
0.0095,0.0065,22.418578,0.872976
0.0032,0.0057,25.143257,0.903251
0.0063,0.0071,24.210964,0.887155
0.0063,0.0065,23.743198,0.884492
0.0095,0.0067,24.000433,0.883825
0.0063,0.006,24.576441,0.909165
0.0032,0.0058,27.823042,0.924343
0.0159,0.0063,23.610053,0.870897
0.0,0.0058,24.992564,0.901643
0.0095,0.0058,24.048901,0.884037
0.0222,0.0051,22.689797,0.871596
0.0032,0.0064,26.268572,0.90864
0.0095,0.0059,22.990363,0.864235
0.0063,0.0064,25.972071,0.906719
0.0063,0.0061,24.491795,0.890447
0.0063,0.0058,25.376998,0.896994
0.0095,0.0066,24.152672,0.892333
0.0095,0.0063,26.376596,0.906836
0.0063,0.0072,22.575091,0.868997
0.019,0.0077,24.823903,0.889739
0.0127,0.0058,26.607178,0.917863
0.0,0.0066,25.658575,0.904819
0.0127,0.0072,24.567576,0.88171
0.0127,0.0066,22.161709,0.879157
0.0063,0.0074,24.508894,0.884164
0.0032,0.0068,26.024668,0.89639
0.0063,0.0075,21.100602,0.843604
0.0095,0.0071,24.569503,0.892958
0.0127,0.0068,23.069692,0.878287
0.019,0.0067,22.671816,0.869148
0.0063,0.0068,25.400283,0.902222
0.0032,0.0063,26.551229,0.907534
0.0032,0.0078,23.859747,0.883909
0.0032,0.0067,26.643261,0.909043
0.0032,0.0073,24.699783,0.888849
0.0032,0.0076,24.880443,0.884656
0.0127,0.0085,23.226473,0.870009
0.0032,0.0072,28.092164,0.916398
0.0095,0.0086,23.233524,0.868339
0.0032,0.007,24.927382,0.896679
0.0032,0.0075,24.541267,0.890446
0.0032,0.0065,24.891454,0.890799
0.0159,0.0071,22.6139,0.860714
